outcome,exposure,crop,beta_raw,p_raw,r2,n
price,vpd,芹菜,-0.05515358638360379,0.5073963118517453,0.006865878764493738,918
price,vpd,茄子,-0.16870632606065322,0.0708543907392841,0.03489552853163569,918
price,vpd,西红柿,-0.1816821883001768,0.09600333195941535,0.03736671908599909,918
price,vpd,青椒,-0.012631054004980019,0.882611434205071,0.005188224500990879,918
price,vpd,韭菜,-0.11722347355562773,0.20711137945352331,0.010620778439614398,918
price,vpd,黄瓜,-0.12058437799955318,0.32603716683041106,0.015006606082992646,918
price,wind_speed,土豆,0.047972068765607515,0.01063262572287879,0.051110878414025174,918
price,wind_speed,尖椒,-0.002763016988156148,0.7179364524900682,0.005342775578657588,918
price,wind_speed,甘蓝,-0.009157226106664678,0.31352308055128186,0.003917899444089268,918
price,wind_speed,芸豆,-0.003047681502076764,0.7347748971623986,0.01415572659934794,918
price,wind_speed,芹菜,-0.0038000577024227054,0.6524710694652884,0.005205761549509691,918
price,wind_speed,茄子,-0.0005208112051376,0.9491279753850664,0.007910510241715518,918
price,wind_speed,西红柿,-0.007682867980600316,0.3103607463131369,0.010837532477079526,918
price,wind_speed,青椒,0.009781437549613047,0.2163503794491607,0.010829877329159854,918
price,wind_speed,韭菜,-0.014169716969005135,0.0882918527536416,0.009988233284897063,918
price,wind_speed,黄瓜,-0.026483657381343433,0.03155626551926628,0.027845546280452438,918
price,soil_moisture_0_7,土豆,-2.04520544399991,0.31788625250515246,0.016901021256950255,918
price,soil_moisture_0_7,尖椒,0.27475657352090305,0.7376474375187517,0.005618632138526536,918
price,soil_moisture_0_7,甘蓝,-0.035582469424823016,0.9723535682242282,5.68756414639493e-05,918
price,soil_moisture_0_7,芸豆,0.26774135625462325,0.8040863218690296,0.01426283459625477,918
price,soil_moisture_0_7,芹菜,0.5506197452370336,0.5422703415472518,0.0069520968822675,918
price,soil_moisture_0_7,茄子,0.4827632390738689,0.49654101690789376,0.01019245006931313,918
price,soil_moisture_0_7,西红柿,1.2353255386861535,0.05657221972313739,0.021799136980509948,918
price,soil_moisture_0_7,青椒,0.7174977529981252,0.35230729801713234,0.010081166130566865,918
price,soil_moisture_0_7,韭菜,0.6189992516668694,0.4577029798089788,0.0033029920404743507,918
price,soil_moisture_0_7,黄瓜,2.2021489008427233,0.08671989556249815,0.030099295774227874,918
volume,precipitation,土豆,-0.0032448595738365535,0.4327324684512307,0.021252336513163272,918
volume,precipitation,尖椒,-0.0032959544564614253,0.3902664404918068,0.09614618996242696,918
volume,precipitation,甘蓝,0.0007322174449888772,0.7341210186587896,0.044558184798270783,918
volume,precipitation,芸豆,0.004570921357684535,0.11781919416927104,0.055875807214796014,918
volume,precipitation,芹菜,-0.002649535762557325,0.35631771400045986,0.06744856031609792,918
volume,precipitation,茄子,-0.012093607819201817,2.889255211952449e-05,0.042427295943176735,918
volume,precipitation,西红柿,-0.000498974441924246,0.8926968542723364,0.03305042103974232,918
volume,precipitation,青椒,-0.0002561332533523247,0.8970487942499062,0.0652360970634771,918
volume,precipitation,韭菜,0.0036643197322528327,0.30168954737924314,0.07553889511772471,918
volume,precipitation,黄瓜,-0.00363042141613196,0.03948169498940007,0.11918627956031658,918
volume,temp_max,土豆,0.0003042310986203899,0.9677898257615181,0.020014819270829043,918
volume,temp_max,尖椒,0.010832935452875217,0.029537271360536528,0.12293890473108504,918
volume,temp_max,甘蓝,0.0022162790622479852,0.6580588324842827,0.046537793986192844,918
volume,temp_max,芸豆,0.015326603596206589,0.0018814799840489,0.12325614345658642,918
volume,temp_max,芹菜,0.0012819100601914402,0.8262767590065225,0.06697232417459165,918
volume,temp_max,茄子,-0.01426300695314388,0.0017485887523291058,0.08653507588591325,918
volume,temp_max,西红柿,0.0017980023240308533,0.7325414102218537,0.033965383187163245,918
volume,temp_max,青椒,0.009059964362441403,0.03269795235812208,0.09647551310589308,918
volume,temp_max,韭菜,0.019033426516460786,0.0012883446543904868,0.17200496630090556,918
volume,temp_max,黄瓜,-0.004341326876326977,0.2393856724080159,0.12392546157695339,918
volume,vpd,土豆,0.031224288083699953,0.7560326685198456,0.02109091909459937,918
volume,vpd,尖椒,0.1556541242325375,0.00845713590620581,0.12041198433233125,918
volume,vpd,甘蓝,-0.060205753153840975,0.3377688095704099,0.051235510451664745,918
volume,vpd,芸豆,0.08881355557979428,0.24234294591176986,0.06335289492260876,918
volume,vpd,芹菜,-0.0020546667674409304,0.9767904802466737,0.06650097525212206,918
volume,vpd,茄子,-0.1359118004749105,0.02115792414783503,0.0466626048164811,918
volume,vpd,西红柿,-0.05132228459947287,0.43897877112239214,0.03642404365518137,918
volume,vpd,青椒,0.12013837050871803,0.027428643771323983,0.08943911796930926,918
volume,vpd,韭菜,0.17208114198101215,0.01919391365558742,0.10919605698081658,918
volume,vpd,黄瓜,-0.06153560379899317,0.13914776280364172,0.12311779199343986,918
volume,wind_speed,土豆,-0.031527073396990395,4.628442059421334e-08,0.09201695188950443,918
volume,wind_speed,尖椒,0.0031436141237542233,0.5608202805787093,0.09560069875639954,918
volume,wind_speed,甘蓝,0.0032483809307763574,0.6015691570564983,0.04572025270077562,918
volume,wind_speed,芸豆,-0.016075105474286887,0.00782531446116731,0.07484293096851269,918
volume,wind_speed,芹菜,0.00464262317654839,0.4878834566893111,0.06826567544842232,918
volume,wind_speed,茄子,0.005086395830777855,0.4085348375640795,0.02245993845011396,918
volume,wind_speed,西红柿,0.01456867242014649,0.01221109935310938,0.050656296627367814,918
volume,wind_speed,青椒,0.0024701365386407626,0.6562160407860307,0.06588199576359755,918
volume,wind_speed,韭菜,-0.005940883961240654,0.4089784435534237,0.0765436671810712,918
volume,wind_speed,黄瓜,0.00942812668282178,0.0251313331705456,0.12628576370892064,918
volume,soil_moisture_0_7,土豆,-1.215095333017811,0.12716956981286104,0.03730488020095479,918
volume,soil_moisture_0_7,尖椒,-0.39794160646173227,0.45445512620927897,0.09666428503065982,918
volume,soil_moisture_0_7,甘蓝,1.1899123755548477,0.02103973649597128,0.0719987663199998,918
volume,soil_moisture_0_7,芸豆,0.5723225503279118,0.267986337478341,0.057440636188823224,918
volume,soil_moisture_0_7,芹菜,1.0654411287750742,0.05380395618600339,0.0815817410662324,918
volume,soil_moisture_0_7,茄子,0.6619191813645579,0.3366865639797725,0.026624771614511045,918
volume,soil_moisture_0_7,西红柿,0.7308876399877389,0.2119091302591931,0.04020096258598993,918
volume,soil_moisture_0_7,青椒,-0.5827051044812657,0.22278673685714834,0.07114626726698003,918
volume,soil_moisture_0_7,韭菜,0.49110710370644395,0.33710249734853714,0.07683026213833533,918
volume,soil_moisture_0_7,黄瓜,0.014106159095734983,0.9741050170063326,0.11688467067227115,918
